"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Intialaista Madras Chicken currykastiketta ja höyryriisiä","","2,60 / 5,45 / 6,25  €"
"Perjantai","Varhaiskaali-jauhelihalaatikkoa, puolukkahilloa ja kuoriperunoita","","2,60 / 5,45 / 6,25  €"
"Perjantai","Pekonipannupizzaa","","2,60 / 5,45 / 6,25  €"
"Perjantai","Manteli-pannacotta, aprikoosikastiketta ja kauralehtinen","","Pieni 0,70 € Iso 1,30    €"
"Maanantai","Kiinalaista Chicken sweet and sour kastiketta ja höyryriisiä ","G L M","2,60 / 5,45 / 6,25  €"
"Maanantai","Kebablihakiusausta","G L","2,60 / 5,45 / 6,25  €"
"Maanantai","Härkäborssikeittoa ja smetanaa","G L M  / L","2,50 / 5,45 / 6,25  €"
"Maanantai","Persikka-mansikkakerrosrahkaa","G L","Pieni 0,70 € Iso 1,30    €"
"Maanantai","Suklainen cupcake vadelmavaahdolla","","1,30  €"
"Keskiviikko","Uunibroileria ja currykastiketta, höyryriisiä","","2,60 / 5,45 / 6,25  €"
"Keskiviikko","Savukinkkurisottoa","","2,60 / 5,45 / 6,25  €"
"Keskiviikko","Metvurstipannupizzaa","","2,60 / 5,45 / 6,25  €"
"Keskiviikko","Makkarakeittoa","","2,50 / 5,45 / 6,25  €"
"Keskiviikko","Lemon-limeposset, vadelmamelbaa","","Pieni 0,70 € Iso 1,30    €"
"Tiistai","Meksikolaista härkäpataa ja höyryriisiä","G L M","2,60 / 5,45 / 6,25  €"
"Tiistai","Juustokuorrutettua seitiä ja höyryperunoita","G VL","2,60 / 5,45 / 6,25  €"
"Tiistai","Jauheliha-chilitortilloja ja kermaviilikastiketta","L M  / G L","2,60 / 5,45 / 6,25  €"
"Tiistai","Uuniohrapuuroa ja mansikka-raparperikiisseliä","","1,80 / 4,20 €  €"
"Tiistai","Mustikka-mascarponemoussea","","Pieni 0,70 € Iso 1,30    €"
"Tiistai","Talon suklaakakkua","L","1,30  €"
"Lauantai","Burgundinpataa ja höyryriisiä","","2,60 / 5,45 / 6,25  €"
"Lauantai","Soijaleikkeitä ja fenkoli-tomaattikastiketta","","2,60 / 5,45 / 6,25  €"
"Lauantai","Juustoista paprikakeittoa ja luomumyslileipänen","","2,60 / 5,45 / 6,25  €"
"Lauantai","Kanaa kiewin tapaan ja juustoista mangokastiketta, kurkumariisiä ja persilja-porkkanoita ","","3,85 / 6,90  €"
"Lauantai","Kerrossuklaamousse","","Pieni 0,70 € Iso 1,30    €"
"Torstai","Jauhelihapihvit tomaattikastikkeella ja keitettyjä kuoriperunoita","","2,60 / 5,45 / 6,25  €"
"Torstai","Savulohi-kasvispataa","","2,60 / 5,45 / 6,25  €"
"Torstai","Riista-kasvispiirakkaa","","2,60 / 5,45 / 6,25  €"
"Torstai","Mannapuuroa ja marjakeittoa","","1,80 / 4,20  €"
"Torstai","Syksyinen puolukka-kauraherkku, vanillavaahtoa","","Pieni 0,70 € Iso 1,30    €"
