"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Luomutofu-kasviscurrya","","2,60 / 5,45 / 6,25  €"
"Perjantai","Uuniperunaa feta-oliivitäytteellä","","2,60 / 5,45 / 6,25  €"
"Perjantai","Vihannespastaa","","2,60 / 5,45 / 6,25  €"
"Perjantai","Proteiinibistro","","2,60 / 5,45 / 6,25  €"
"Perjantai","Manteli-pannacotta, aprikoosikastiketta ja kauralehtinen","","Pieni 0,70 € Iso 1,30    €"
"Keskiviikko","Kasviskevätkääryleitä ja sweet and sour-kastiketta ja höyryriisiä","","2,60 / 5,45 / 6,25  €"
"Keskiviikko","Chili con vege ja höyryriisiä","","2,60 / 5,45 / 6,25  €"
"Keskiviikko","Kasviksia seesaminsiemenkastikkeessa ja höyrytettyä täysjyvävehnää","","2,60 / 5,45 / 6,25  €"
"Keskiviikko","Proteiinibistro","","2,60 / 5,45 / 6,25  €"
"Keskiviikko","Lemon-limeposset, vadelmamelbaa","","Pieni 0,70 € Iso 1,30    €"
"Tiistai","Feta-pinaattipihvejä ja tomaattikastiketta","VL","2,60 / 5,45 / 6,25  €"
"Tiistai","Kasvis-juustokiusausta","G VL","2,60 / 5,45 / 6,25  €"
"Tiistai","Bataatti-kookoskermacurrya","G L M VEG","2,60 / 5,45 / 6,25  €"
"Tiistai","Uuniohrapuuroa ja mansikka-raparperikiisseliä","L M VEG","1,80 / 4,20  €"
"Tiistai","Proteiinibistro","","2,60/ 5,45/ 6,25  €"
"Tiistai","Mustikka-mascarponemoussea","","Pieni 0,70 € Iso 1,30    €"
"Tiistai","Talon suklaakakkua","L","1,30  €"
"Torstai","Pyttipannu soijamakkarasta","","2,60 / 5,45 / 6,25  €"
"Torstai","Juusto-kasvispannupizzaa","","2,60 / 5,45 / 6,25  €"
"Torstai","Ohraista curry-kasviskeittoa ja pasteija","","2,50 / 5,45 / 6,25  €"
"Torstai","Proteiinibistro","","2,60 / 5,45 / 6,25  €"
"Torstai","Mannapuuroa ja marjakeittoa","","1,80 / 4,20  €"
"Torstai","Syksyinen puolukka-kauraherkku, vanillavaahtoa","","Pieni 0,70 € Iso 1,30    €"
"Maanantai","Falafel-pyöryköitä, kurkku-kermaviilikastiketta ja höyryriisiä","L M","2,60 / 5,45 / 6,25  €"
"Maanantai","Kasvisbolognesekastiketta ja spaghettia","L M VEG","2,60 / 5,45 / 6,25  €"
"Maanantai","Kasvisborssikeittoa ja jugurttia","G L","2,50 / 5,45 / 6,25  €"
"Maanantai","Proteiinibistro","","2,60 / 5,45 / 6,25  €"
"Maanantai","Persikka-mansikkakerrosrahkaa","G L","Pieni 0,70 € Iso 1,30    €"
"Maanantai","Suklainen cupcake vadelmavaahdolla","","1,30  €"
