"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Bistro: Lohti-katkarapukastike tuorepastalle sis. kahvi ja jälkiruoka","VL","4,85  / 7,50 €"
"Perjantai","Lautasannos: Oopperaleike, hunajaiset punajuuret, juures-perunarösti sis. kahvi / tee","VL","4,85  / 7,50 €"
"Keskiviikko","Bistro: Paahdettua uunibroileria Unkarilaiseen tapaan, värikäs paprikariisi sis. kahvi ja jälkiruoka","G L","4,85  / 7,50 €"
"Keskiviikko","Lautasannos: Porsaanleike kinkku-cheddartäytteellä, uunijuurekset, paahdettua uuniperunaa sis. kahvi / tee","","4,85  / 7,50 €"
"Tiistai","Bistro: Bratwurstit, hapankaali, valkosipulikermaperunat sis. kahvi ja jälkiruoka","G VL","4,85  / 7,50 €"
"Tiistai","Lautasannos: Lämminsavulohta, kermassahaudutettua pinaattia, uunimunakas, tilliperunat sis. kahvi / tee","VL","4,85  / 7,50 €"
"Torstai","Bistro: Lihapyörykät Napolin tapaan, perunamuhennos sis. kahvi ja jälkiruoka","","4,85  / 6,80 €"
"Torstai","Lautasannos: Lehtipihvi, maustevoi, juustoiset grillitomaatit, valkosipulikermaperunat sis. kahvi / tee ","G VL","4,85  / 7,50 €"
"Maanantai","Bistro: Uunilohi, makea chilimajoneesi, tilliperunat sis. kahvi ja jälkiruoka","G L","4,85  / 7,50 €"
"Maanantai","Lautasannos: Broilerin filettä Napolin tapaan, voimaissi, Välimeren risotto sis. kahvi / tee","VL","4,85  / 7,50 €"
