"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Lohi-parsakaalipiirakka","VL","2,60  / 5,60 €"
"Perjantai","Perinteinen jauhelihamakaronilaatikko / L","","2,60  / 5,60 €"
"Perjantai","Siskonmakkarakeitto","G L","2,60  / 5,60 €"
"Perjantai","Salami-paprika-punasipuli-tomaattipannupizza","L","3,85  / 6,80 €"
"Keskiviikko","Herkkusienimunakas, keitetyt perunat","G VL","2,60  / 5,60 €"
"Keskiviikko","Tex-mex jauhelihakastike pennepastalle","L","2,60  / 5,60 €"
"Keskiviikko","Ranskalainen maalaiskeitto, grissiinit","L","2,60  / 5,60 €"
"Keskiviikko","Kebabliha-punasipuli-pepperoni-tomaattipannupizza","L","3,85  / 6,80 €"
"Tiistai","Kasvispyörykät, kermaviilikastike, keitetyt perunat","G VL","2,60  / 5,60 €"
"Tiistai","Paahdettua uunibroileria, currykastike, riisi","G VL","2,60  / 5,60 €"
"Tiistai","Lammaskaalipata, puolukkahillo, keitetyt perunat","G VL","2,60  / 5,60 €"
"Tiistai","Kebablihahampurilainen, punasipuli-tomaattisalsa, chilimajoneesi, ranskalaiset perunat","VL","3,85  / 6,80 €"
"Torstai","Juurespihvit, yrttikastike, keitetyt perunat","G VL","2,60  / 5,60 €"
"Torstai","Broilercurry, jasmineriisi","L","2,60  / 5,60 €"
"Torstai","Kermaiset tomaattisilakat, perunamuhennos","","2,60  / 5,60 €"
"Torstai","Perinteinen palapaisti, perunamuhennos","","3,85  / 6,80 €"
"Maanantai","Tomaattinen vuohenjuustokeitto, karjalanpiirakka","","2,60  / 5,60 €"
"Maanantai","Kalkkuna-kookoskastike, curryriisi","G L","2,60  / 5,60 €"
"Maanantai","Kermainen merilohikeitto","G VL","2,60  / 5,60 €"
"Maanantai","Jauheliha-tomaattipannupizza","L","3,85  / 6,80 €"
