"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Kebablihatortilla, kermaviili","L","2,60  / 5,40 / 6,20 €"
"Perjantai","Pinaattiohukaiset, puolukkahillo","","2,60  / 5,40 / 6,20 €"
"Perjantai","Salaattibuffet","","12,50/kg  €"
"Perjantai","Chilipaahdettu lohi *, remouladekastike","G L","3,95  / 6,70 / 7,70 €"
"Keskiviikko","Lohinuggetit, hovimestarin kastike","VL","2,60  / 5,40 / 6,20 €"
"Keskiviikko","Parsakaalipihvi, hovimestarin kastike","G L","2,60  / 5,40 / 6,20 €"
"Keskiviikko","Salaattibuffet","","12,50/kg  €"
"Keskiviikko","Kreikkalainen karitsanpata, juurespyree, herneitä","L","3,95  / 6,70 / 7,70 €"
"Tiistai","Broileri Kung Po","G L M","2,60  / 5,40 / 6,20 €"
"Tiistai","Herkkusienipasta","L","2,60  / 5,40 / 6,20 €"
"Tiistai","Salaattibuffet","","12,50/kg  €"
"Tiistai","Hawajinleike, Aurajuustoperunat, kartanokasvikset","G VL","3,95  / 6,70 / 7,70 €"
"Torstai","Nakkistroganoff, perunamuusi","","2,60  / 5,40 / 6,20 €"
"Torstai","Puutarhurin kasvispihvi, paholaisen kastike ","L","2,60  / 5,40 / 6,20 €"
"Torstai","Salaattibuffet","","12,50/kg  €"
"Torstai","Porsaanleike, maustevoi, paholaisen kastike","L M","3,95  / 6,70 / 7,70 €"
"Maanantai","Bolognesekastike *, pasta","L M","2,60  / 5,40 / 6,20 €"
"Maanantai","Falafel-pyörykät, tzatziki","L","2,60  / 5,40 / 6,20 €"
"Maanantai","Salaattibuffet","","12,50/kg  €"
"Maanantai","Grillattu broilerfilee,parsakaali, tzatziki, villiriisi *","G L","3,95  / 6,70 / 7,70 €"
