"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Ei lounasta"," "," "
"Keskiviikko","Nakkikastiketta, purjo-perunasosetta","L M  / G","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Rukiiset silakat, höyrytettyä tilliperunaa","L","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Kikherne-juustopihvejä, sinappirelish-kermaviiliä","L  / G L","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Juustoista kasvissuikalekeittoa","G L","2,30  / 4,70 / 5,20 €"
"Keskiviikko","Tonnikala-kasvissalaattia, chipsejä & chili-majjoneesia","G L","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Vietnamilaista broilericurrya, basmatiriisiä","L","4,45  / 6,95 / 8,85 €"
"Keskiviikko","Metsästäjänleike, metsäsienikastiketta, perunasosetta","L M  / L","4,95  / 7,80 / 9,50 €"
"Keskiviikko","Omena-kauramurupaistos, kaneli-kermavaahtoa","L","1,20  €"
"Tiistai","Kalkkuna-mangokastiketta, höyrytettyä tummaa riisiä","G L M","2,60  / 5,45 / 6,25 €"
"Tiistai","Rapeat kalapalat, sinappista-kermaviilikastiketta, perunasosetta","L M  / G L","2,60  / 5,45 / 6,25 €"
"Tiistai","Kikherne- bataattipataa, täysjyvä ohraa","G L M VEG","2,60  / 5,45 / 6,25 €"
"Tiistai","Kasvis- porsaanfilesalaattia & tortillachipsejä","G L","2,60  / 5,45 / 6,25 €"
"Tiistai","Juusto-pinaatti tortellonit tomaattikastikkeessa, pecorino-juustoa","","4,45  / 6,95 / 8,85 €"
"Tiistai","Naudan paahtopaistia, tummaa hunajakastiketta, lohkoperunoita","G L M","4,95  / 7,80 / 9,50 €"
"Tiistai","Mariannerahkaa","G L","1,20  €"
"Torstai","Jauhelihakebakoita, makeaa chili-sipulikastiketta, riisiä","L M  / G L M","2,60  / 5,45 / 6,25 €"
"Torstai","Smetanaista kalkkuna-pastavuokaa","L","2,60  / 5,45 / 6,25 €"
"Torstai","Herkkusieni-papupataa","G L M VEG","2,60  / 5,45 / 6,25 €"
"Torstai","Falafel-pyöryköitä & vihannes-kuskussalaattia","L M VEG","2,60  / 5,45 / 6,25 €"
"Torstai","Naudanlihaburrito, paahdettuja hunaja-punajuuria","L M  / G L M","4,45  / 6,95 / 8,85 €"
"Torstai","Yrttimaustettua porsaan fileetä, aurajuustoperunat","G L M  / G L","4,95  / 7,80 / 9,50 €"
"Torstai","Suklaa-banaanimousse","","1,20  €"
"Maanantai","Spagetti Bolognaise","G L M","2,60  / 5,45 / 6,25 €"
"Maanantai","Broilerikiusausta","G L","2,60  / 5,45 / 6,25 €"
"Maanantai","Kasviksia smetanakastikkeessa (pyydä veg), ruisriisiä","G L","2,60  / 5,45 / 6,25 €"
"Maanantai","Mozzarella-tomaattisalaattia ja paahdettua pestoleipää","","2,60  / 5,45 / 6,25 €"
"Maanantai","Proteiinibistro","","2,60  / 5,45 / 6,25 €"
"Maanantai","Aura-juusto -kasvispizza","L","4,45  / 6,95 / 8,85 €"
"Maanantai","Savumarinoitua kirjolohta, tzatzikia, paahdettua perunaa","G L M  / G L","4,95  / 7,80 / 9,50 €"
"Maanantai","Melonisalaattia","G L M VEG","1,20  €"
