"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Pippurista härkäpataa *","G L  / G L","2,60  / 5,45 / 6,25 €"
"Perjantai","Silakkaa kermaisessa tomaattikastikkeessa","G L","3,95  / 6,70 / 7,70 €"
"Perjantai","Cous cous kasvispihvit ja cuocamolekastiketta","L VL VEG","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Jauhelihakebakoita ja tomaattinen kasviskastike","L","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Madras chiken intialainen broilerkastike","G L M","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Ratatouille ja ruisriisiä*","G L M VEG","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Bataattisosekeittoa","G L","2,30  / 4,70 / 5,20 €"
"Tiistai","Kalkkunamangokastiketta ja höyrytettyä riisiä*","G L M","2,60  / 5,45 / 6,25 €"
"Tiistai","Pannupizzaa tonnikala-ananas-valkosipuli","L","2,60  / 5,45 / 6,25 €"
"Tiistai","Tuorepastaa kasviksilla ja pavuilla*","L M","2,60  / 5,45 / 6,25 €"
"Tiistai","Ohrapuuro ja mustikkakeitto*","L","1,80  / 4,20 / 4,20 €"
"Torstai","Bolognesekastiketta ja spagettia*","G L M","2,60  / 5,45 / 6,25 €"
"Torstai","DELI: Paneroitua porsaanleikettä valkosipulikermaperunoita ja rakuunaporkkanat","L  / G L","3,95  / 6,70 / 7,70 €"
"Torstai","Pennepastaa ja tomaattivuohenjuustokastiketta","/ G L","2,60  / 5,45 / 6,25 €"
"Maanantai","Meksikolaista jauhelihakasvisrisottoa*","G L M","2,60  / 5,45 / 6,25 €"
"Maanantai","Juusto gratinoitu broilerkiusaus","G L","2,60  / 5,45 / 6,25 €"
"Maanantai","Kasvispyttipannu","G L M VEG  / G L M","2,60  / 5,45 / 6,25 €"
"Maanantai","Juustoinen kukkakaalisosekeitto","G L","2,30  / 4,70 / 5,20 €"
