"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","TAI, Broiler-juustokastike *","L","2,20 / 5,20 / 7,20  €"
"Perjantai","AMK, Jauhelihapihvi, tomaattikastike","L M","2,20 / 5,20 / 7,20  €"
"Perjantai","Kasvisbolognese","G L M VEG","2,20 / 5,20 / 7,20  €"
"Perjantai","Papu-kasviskeitto *","G L M","1,75 / 4,00 / 5,50  €"
"Perjantai","Omenapiirakka","","1,00 / 1,00 / 1,30  €"
"Keskiviikko","TAI, Makkarakastike","G L M","2,20 / 5,20 / 7,20  €"
"Keskiviikko","AMK, Gruusialainen naudanlihapata *","G L","2,20 / 5,20 / 7,20  €"
"Keskiviikko","Koskenlaskija-kasvisgratiini *","L","2,20 / 5,20 / 7,20  €"
"Keskiviikko","Kurpitsasosekeitto *","G L","1,75 / 4,00 / 5,50  €"
"Keskiviikko","TAKE AWAY / HK Tonnikalasalaatti *","L M","3,50 / 4,00/   €"
"Keskiviikko","Hedelmärahka","G VL","1,00 / 1,00 / 1,30  €"
"Tiistai","TAI, Juustokuorrutettua seitä *","G L","2,20 / 5,20 / 7,20  €"
"Tiistai","AMK, Savukinkkurisotto","G L","2,20 / 5,20 / 7,20  €"
"Tiistai","Quorn-kasviskastike","G L M","2,20 / 5,20 / 7,20  €"
"Tiistai","Juuressosekeitto*","G L","1,75 / 4,00 / 5,50  €"
"Tiistai","Kuningatarkiisseli","G L","1,00 / 1,00 / 1,30  €"
"Tiistai","TAKE AWAY / HK Broiler-pastasalaatti","L M","3,50 / 4,00  €"
"Torstai","Jauheliha-makaroonilaatikko","L","2,20 / 5,20 / 7,20  €"
"Torstai","Feta-pinaattipihvit, kermaviilikastike","VL  / G L","2,20 / 5,20 / 7,20  €"
"Torstai","Siskonmakkarakeitto","G L M","1,75 / 4,00 / 5,50  €"
"Torstai","TAKE AWAY / HK Lohisalaatti *","G L","3,50 / 4,00/   €"
"Torstai","Mustikkahilloa ja jugurttia","G L","1,00 / 1,00 / 1,30  €"
"Maanantai","TAI, jauhelihakstike, chili con carne *","G L M","2,20 / 5,20 / 7,20  €"
"Maanantai","AMK, Broiler-kasvisvuoka","G L","2,20 / 5,20 / 7,20  €"
"Maanantai","Falafelpyörykät, kermaviilikastike","L M VEG  / G L","2,20 / 5,20 / 7,20  €"
"Maanantai","Juusto-paprikakeitto *","G L","1,75 / 4,00 / 4,00  €"
"Maanantai","Suklaamousse","G","1,00 / 1,00 / 1,30  €"
"Maanantai","TAKE AWAY / HK Hedelmäinen juustosalaatti","G L","3,50 / 4,00  €"
