"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Palermon kanaa","L M","8,50  €"
"Perjantai","Porsaan filee, pippurikermakastiketta","G L M  / G L","7,20  €"
"Perjantai","Janssoninkiusausta","G VL","7,20  €"
"Perjantai","Juustoinen riistakeitto","G VL","5,90  €"
"Perjantai","Omenakiisseliä, kanelikermaa","G L M  / G L","1,30  €"
"Keskiviikko","Paahdettu broileripihvi, currymajoneesia","G L M  / G L M","8,50  €"
"Keskiviikko","Tomaatti-sipulitäytteinen uunimakkara, perunasose","G L","7,20  €"
"Keskiviikko","Sieniohukkaita, kermaviilikastiketta ","","7,20  €"
"Keskiviikko","Jauhelihakeittoa","G L M","5,90  €"
"Keskiviikko","Mangorahkaa","G L","1,30  €"
"Tiistai","Porsaanpihvi rosepippurikastikkeessa","G VL","8,50  €"
"Tiistai","Silakkapihvejä, perunasosetta","L M  / G","7,20  €"
"Tiistai","Valkosipulihärkää","G L","7,20  €"
"Tiistai","Linssisosekeittoa, päivän jälkiruoka","G VL  / G L","5,90  €"
"Tiistai","Persikkapannacottaa","G L","1,30  €"
"Torstai","Porsaanfilepihvi pippurituorejuustolla, kermaperunoita","G L","8,50  €"
"Torstai","Lihapyöryköitä","L M  / L","7,20  €"
"Torstai","Juustomestarin kalaa","G VL","7,20  €"
"Torstai","Hernekeittoa, pannukakkua             (myös G, L, M)","G L M","5,90  €"
"Torstai","Kasvishernekeittoa, pannukakkua, (myös G,L,M)","G L M","5,90  €"
"Torstai","Pannukakkua, kermavaahtoa           (myös G,L,M)","","1,30  €"
"Maanantai","Metsästäjänleike, lohkoperunoita","L M  / G","8,50  €"
"Maanantai","Yrttikastikkeella täytetyt kalapalat","","7,20  €"
"Maanantai","Jauhelihapihvi smetanakastikkeessa","G L","7,20  €"
"Maanantai","Parsakaalikeittoa, päivän jälkiruoka","G VL  / G L","5,90  €"
"Maanantai","Pähkinävaahtoa","G","1,30  €"
