"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Paistettu kampela, kermaperunat","L  / G L","3,90  / 6,85 €"
"Perjantai","Palermon kanaa, mango-currykastike","","2,60  / 5,45 / 6,25 €"
"Perjantai","Talon sieniohukaiset","L","2,60  / 5,45 / 6,25 €"
"Perjantai","Lohikeitto","G L","2,60  / 5,45 / 6,25 €"
"Maanantai","Paahtopaistia,punaviinikastike, bataattilisäke*","G L M  / G L","4,20  / 7,35 €"
"Maanantai","Yrttiset kalapalat, tuorekurkku-kermaviilikastiketta*","L  / G L","2,60  / 5,45 / 6,25 €"
"Maanantai","Broilernuudelia*","L","2,60  / 5,45 / 6,25 €"
"Maanantai","Juustokuorutettua kasvisgratiinia*","G VL","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Kievin kanaa, currymajoneesi","VL","4,20  / 7,35 €"
"Keskiviikko","Rio granden kalaa (seistä)*","L","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Talon broilermurekepihvit ,kermaista  currykastiketta*","L  / L","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Gruusialainenkaalivuoka*","G L M VEG  / G L","2,60  / 5,45 / 6,25 €"
"Tiistai","Jauheliha-metwurstipannupizza","L","4,20  / 7,35 €"
"Tiistai","Jauhelihapastavuoka","L","2,60  / 5,45 / 6,25 €"
"Tiistai","Siskonmakkarakeitto","G L","2,60  / 5,45 / 6,25 €"
"Tiistai","Kasviskroketteja, tomaattisalsaa*","G L M VEG  / G L M VEG","2,60  / 5,45 / 6,25 €"
"Lauantai","Broilerin chilimaustettua rintafilettä, Bearnaisekastike , kasvislisäke","G L M  / G L","4,20  / 7,35 €"
"Lauantai","Broilerpyörykät,","","2,60  / 5,45 / 6,25 €"
"Lauantai","Tonnikalapastaa","","2,60  / 5,45 / 6,25 €"
"Lauantai","Porkkananappeja, kermaviilikastiketta","L  / G L","2,60  / 5,45 / 6,25 €"
"Torstai","Porsaanleike, smetanakastike, tikkuperunat","L  / L","2,60  / 5,45 / 6,25 €"
"Torstai","Juustoinen uunimakkara, perunasosetta","G L  / G L","2,60  / 5,45 / 6,25 €"
"Torstai","Hernekeitto, pannukakku, hillo ja vaniljakastike","G L M","2,60  / 5,45 / 6,25 €"
"Torstai","Kasvishernekeitto, pannukakku, hillo ja vanlijakastike","G L M VEG","2,60  / 5,45 / 6,25 €"
